transaction_id,channel_id,product_id,sale_date,quarter,quantity,amount
T100093,CH001,P02,2024-05-03,2024-Q2,1,£14.99
T100094,CH001,P01,2024-07-20,2024-Q3,1,12.99
T100095,CH001,P06,2024-07-09,2024-Q3,1,£55
T100096,CH001,P06,2024-11-28,2024-Q4,1,54.99
T100097,CH001,P06,2024-02-23,2024-Q1,2,£109.98
T100098,CH001,P01,2024-07-16,2024-Q3,1,12.99
T100099,CH001,P01,2024-03-06,2024-Q1,1,12.99
T100100,CH001,P02,2024-07-24,2024-Q3,1,£14.99
T100101,CH001,P03,2024-01-06,2024-Q1,1,11.99
T100102,CH001,P01,2024-12-19,2024-Q4,1,12.99
T100103,CH001,P03,2024-10-25,2024-Q4,1,11.99
T100104,CH001,P05,2024-09-16,2024-Q3,3,£48
T100105,CH001,P04,2024-10-19,2024-Q4,1,£16.99
T100106,CH001,P05,2024-09-23,2024-Q3,1,£15.99
T100107,CH001,P02,2024-07-13,2024-Q3,1,£14.99
T100108,CH001,P01,2024-07-09,2024-Q3,1,£13
T100109,CH001,P02,2024-11-26,2024-Q4,3,44.97
T100110,CH001,P01,2024-02-03,2024-Q1,1,£12.99
T100111,CH001,P02,2024-10-12,2024-Q4,1,£15
T100112,CH001,P02,2024-04-26,2024-Q2,1,£14.99
T100113,CH001,P04,2024-07-06,2024-Q3,2,£33.98
T100114,CH001,P04,2024-01-21,2024-Q1,3,£50.97
T100115,CH001,P05,2024-04-14,2024-Q2,3,£47.97
T100116,CH001,P01,2024-09-14,2024-Q3,1,£12.99
T100117,CH001,P04,2024-02-02,2024-Q1,3,£50.97
T100118,CH001,P03,2024-04-22,2024-Q2,2,£23.98
T100119,CH001,P02,2024-08-09,2024-Q3,2,£29.98
T100120,CH001,P01,2024-04-20,2024-Q2,2,£25.98
T100121,CH001,P01,2024-02-04,2024-Q1,2,£26
T100122,CH001,P05,2024-03-07,2024-Q1,2,£32
T100123,CH001,P04,2024-07-21,2024-Q3,1,£16.99
T100124,CH001,P03,2024-08-03,2024-Q3,1,£12
T100125,CH001,P01,2024-01-06,2024-Q1,2,£25.98
T100126,CH001,P06,2024-02-09,2024-Q1,1,54.99
T100127,CH001,P01,2024-02-13,2024-Q1,1,12.99
T100128,CH001,P01,2024-12-27,2024-Q4,1,£12.99
T100129,CH001,P01,2024-10-27,2024-Q4,1,£12.99
T100130,CH001,P01,2024-03-10,2024-Q1,1,12.99
T100131,CH001,P06,2024-04-28,2024-Q2,1,£55
T100132,CH001,P03,2024-05-08,2024-Q2,2,23.98
T100133,CH001,P02,2024-02-05,2024-Q1,1,14.99
T100134,CH001,P05,2024-07-02,2024-Q3,1,£15.99
T100135,CH001,P04,2024-12-07,2024-Q4,1,16.99
T100136,CH001,P02,2024-07-09,2024-Q3,2,£29.98
T100137,CH001,P04,2024-06-09,2024-Q2,2,£33.98
T100138,CH001,P05,2024-09-13,2024-Q3,1,£16
T100139,CH001,P05,2024-01-07,2024-Q1,2,£31.98
T100140,CH001,P05,2024-04-05,2024-Q2,1,£15.99
T100141,CH001,P01,2024-09-18,2024-Q3,1,£13
T100142,CH001,P02,2024-10-04,2024-Q4,2,29.98
T100143,CH001,P02,2024-12-24,2024-Q4,2,£29.98
T100144,CH001,P03,2024-11-18,2024-Q4,1,£12
T100145,CH001,P02,2024-11-06,2024-Q4,1,£14.99
T100146,CH001,P03,2024-01-17,2024-Q1,1,£11.99
T100147,CH001,P03,2024-12-20,2024-Q4,1,£11.99
T100148,CH001,P05,2024-10-12,2024-Q4,1,£15.99
T100149,CH001,P01,2024-10-06,2024-Q4,3,£38.97
T100150,CH001,P04,2024-11-11,2024-Q4,3,£50.97
T100151,CH001,P01,2024-11-26,2024-Q4,1,£13
T100152,CH001,P03,2024-04-22,2024-Q2,1,£12
T100153,CH001,P02,2024-07-23,2024-Q3,1,£14.99
T100154,CH001,P02,2024-07-12,2024-Q3,1,14.99
T100155,CH001,P01,2024-06-26,2024-Q2,1,£12.99
T100156,CH001,P05,2024-09-14,2024-Q3,1,£15.99
T100157,CH001,P01,2024-06-09,2024-Q2,1,£13
T100158,CH001,P02,2024-07-07,2024-Q3,1,£14.99
T100159,CH001,P01,2024-04-24,2024-Q2,2,£26
T100160,CH001,P04,2024-11-23,2024-Q4,2,£33.98
T100161,CH001,P04,2024-09-11,2024-Q3,1,£16.99
T100162,CH001,P06,2024-01-16,2024-Q1,1,£54.99
T100163,CH001,P03,2024-12-11,2024-Q4,1,£11.99
T100164,CH001,P02,2024-03-19,2024-Q1,1,£14.99
T100165,CH001,P02,2024-01-03,2024-Q1,1,14.99
T100166,CH001,P03,2024-12-08,2024-Q4,1,£11.99
T100167,CH001,P02,2024-07-25,2024-Q3,2,£29.98
T100168,CH001,P03,2024-08-26,2024-Q3,1,£11.99
T100169,CH001,P03,2024-09-10,2024-Q3,1,£11.99
T100170,CH001,P04,2024-02-08,2024-Q1,1,16.99
T100171,CH001,P01,2024-08-23,2024-Q3,1,£12.99
T100172,CH001,P02,2024-08-17,2024-Q3,1,£14.99
T100173,CH001,P06,2024-05-05,2024-Q2,1,54.99
T100174,CH001,P03,2024-03-06,2024-Q1,1,11.99
T100175,CH001,P02,2024-10-18,2024-Q4,1,14.99
T100176,CH001,P05,2024-04-12,2024-Q2,1,£15.99
T100177,CH001,P01,2024-02-06,2024-Q1,1,£12.99
T100178,CH001,P02,2024-03-04,2024-Q1,1,£14.99
T100179,CH001,P03,2024-10-02,2024-Q4,1,£12
T100180,CH001,P04,2024-08-03,2024-Q3,1,£17
T100181,CH001,P01,2024-12-24,2024-Q4,1,£12.99
T100182,CH001,P05,2024-06-23,2024-Q2,2,31.98
T100183,CH001,P02,2024-07-13,2024-Q3,2,£29.98
T100184,CH001,P05,2024-02-05,2024-Q1,1,£15.99
T100185,CH001,P01,2024-12-01,2024-Q4,3,£38.97
T100186,CH001,P01,2024-05-02,2024-Q2,1,12.99
T100187,CH001,P03,2024-02-24,2024-Q1,3,£36
T100188,CH001,P05,2024-05-27,2024-Q2,1,£16
T100189,CH001,P04,2024-02-03,2024-Q1,1,£17
T100190,CH001,P03,2024-09-10,2024-Q3,1,£11.99
T100191,CH001,P01,2024-09-20,2024-Q3,3,£38.97
T100192,CH001,P01,2024-10-07,2024-Q4,3,£38.97
T100193,CH001,P01,2024-10-25,2024-Q4,1,£12.99
T100194,CH001,P03,2024-10-01,2024-Q4,1,11.99
T100195,CH001,P03,2024-06-09,2024-Q2,2,£24
T100196,CH001,P03,2024-04-04,2024-Q2,1,£12
T100197,CH001,P03,2024-07-07,2024-Q3,1,£11.99
T100198,CH001,P05,2024-05-09,2024-Q2,2,£31.98
T100199,CH001,P05,2024-11-21,2024-Q4,3,£48
T100200,CH001,P03,2024-02-25,2024-Q1,1,£11.99
T100201,CH001,P06,2024-05-17,2024-Q2,2,£109.98
T100202,CH001,P03,2024-11-09,2024-Q4,3,£36
T100203,CH001,P03,2024-10-19,2024-Q4,2,£24
T100204,CH001,P04,2024-12-02,2024-Q4,1,£16.99
T100205,CH001,P01,2024-11-27,2024-Q4,1,£12.99
T100206,CH001,P04,2024-11-22,2024-Q4,1,£16.99
T100207,CH001,P03,2024-05-25,2024-Q2,1,£12
T100208,CH001,P05,2024-11-01,2024-Q4,3,£47.97
T100209,CH001,P02,2024-08-21,2024-Q3,1,14.99
T100210,CH001,P03,2024-04-23,2024-Q2,1,£12
T100211,CH001,P05,2024-12-10,2024-Q4,1,£16
T100212,CH001,P04,2024-10-02,2024-Q4,1,£16.99
T100213,CH001,P03,2024-08-05,2024-Q3,1,£12
T100214,CH001,P01,2024-08-18,2024-Q3,3,£38.97
T100215,CH001,P03,2024-10-04,2024-Q4,2,23.98
T100216,CH001,P04,2024-11-14,2024-Q4,1,£16.99
T100217,CH001,P01,2024-11-07,2024-Q4,1,£12.99
T100218,CH001,P01,2024-06-24,2024-Q2,1,£13
T100219,CH001,P01,2024-02-24,2024-Q1,1,12.99
T100220,CH001,P01,2024-08-19,2024-Q3,1,£12.99
T100221,CH001,P01,2024-03-17,2024-Q1,1,£12.99
T100222,CH001,P03,2024-04-07,2024-Q2,1,£11.99
T100223,CH001,P02,2024-12-16,2024-Q4,1,£14.99
T100224,CH001,P03,2024-11-14,2024-Q4,1,£11.99
T100225,CH001,P02,2024-11-05,2024-Q4,1,£14.99
T100226,CH001,P04,2024-05-26,2024-Q2,1,£17
T100227,CH001,P03,2024-03-08,2024-Q1,2,£24
T100228,CH001,P05,2024-07-01,2024-Q3,2,£31.98
T100229,CH001,P04,2024-01-27,2024-Q1,1,£16.99
T100230,CH001,P05,2024-10-03,2024-Q4,1,15.99
T100231,CH001,P03,2024-08-18,2024-Q3,1,£11.99
T100232,CH001,P02,2024-06-01,2024-Q2,1,£14.99
T100233,CH001,P02,2024-09-04,2024-Q3,1,£14.99
T100234,CH001,P01,2024-03-16,2024-Q1,2,£26
T100235,CH001,P06,2024-02-11,2024-Q1,1,£55
T100236,CH001,P01,2024-12-28,2024-Q4,1,12.99
T100237,CH001,P01,2024-09-04,2024-Q3,1,12.99
T100238,CH001,P02,2024-04-04,2024-Q2,1,£14.99
T100239,CH001,P05,2024-09-05,2024-Q3,1,15.99
T100240,CH001,P05,2024-08-09,2024-Q3,1,£16
T100241,CH001,P06,2024-06-27,2024-Q2,1,£54.99
T100242,CH001,P04,2024-03-11,2024-Q1,1,16.99
T100243,CH001,P01,2024-01-04,2024-Q1,1,£12.99
T100244,CH001,P02,2024-05-27,2024-Q2,1,£14.99
T100245,CH001,P03,2024-09-09,2024-Q3,1,£11.99
T100246,CH001,P05,2024-01-25,2024-Q1,1,£16
T100247,CH001,P03,2024-07-05,2024-Q3,1,11.99
T100248,CH001,P03,2024-01-03,2024-Q1,1,£12
T100249,CH001,P06,2024-02-03,2024-Q1,1,£54.99
T100250,CH001,P01,2024-09-18,2024-Q3,1,12.99
T100251,CH001,P02,2024-01-22,2024-Q1,2,29.98
T100252,CH001,P01,2024-10-12,2024-Q4,2,£25.98
T100253,CH001,P01,2024-02-25,2024-Q1,1,£12.99
T100254,CH001,P03,2024-10-04,2024-Q4,1,£11.99
T100255,CH001,P04,2024-07-15,2024-Q3,2,£33.98
T100256,CH001,P03,2024-04-06,2024-Q2,1,£11.99
T100257,CH001,P03,2024-10-26,2024-Q4,1,£11.99
T100258,CH001,P04,2024-07-12,2024-Q3,1,£16.99
T100259,CH001,P04,2024-12-11,2024-Q4,1,£16.99
T100260,CH001,P02,2024-11-15,2024-Q4,1,£14.99
T100261,CH001,P02,2024-06-01,2024-Q2,1,£14.99
T100262,CH001,P01,2024-12-21,2024-Q4,1,£12.99
T100263,CH001,P01,2024-06-02,2024-Q2,1,£12.99
T100264,CH001,P06,2024-04-19,2024-Q2,3,£165
T100265,CH001,P01,2024-06-28,2024-Q2,1,£13
T100266,CH001,P03,2024-07-09,2024-Q3,1,11.99
T100267,CH001,P06,2024-05-06,2024-Q2,1,£54.99
T100268,CH001,P01,2024-06-15,2024-Q2,1,12.99
T100269,CH001,P01,2024-02-21,2024-Q1,1,£12.99
T100270,CH001,P02,2024-06-20,2024-Q2,1,£14.99
T100271,CH001,P03,2024-02-15,2024-Q1,1,11.99
T100272,CH001,P02,2024-06-20,2024-Q2,1,£14.99
T100273,CH001,P02,2024-01-13,2024-Q1,1,£14.99
T100274,CH001,P02,2024-09-25,2024-Q3,2,£29.98
T100275,CH001,P03,2024-07-09,2024-Q3,2,£23.98
T100276,CH001,P02,2024-12-01,2024-Q4,1,£15
T100277,CH001,P03,2024-10-24,2024-Q4,1,£11.99
T100278,CH001,P05,2024-11-08,2024-Q4,2,£31.98
T100279,CH001,P02,2024-10-23,2024-Q4,1,£14.99
T100280,CH001,P02,2024-11-28,2024-Q4,1,£14.99
T100281,CH001,P03,2024-09-13,2024-Q3,2,£24
T100282,CH001,P02,2024-09-06,2024-Q3,2,£29.98
T100283,CH001,P02,2024-11-05,2024-Q4,1,14.99
T100284,CH001,P04,2024-04-26,2024-Q2,1,£16.99
T100285,CH001,P01,2024-08-03,2024-Q3,2,25.98
T100286,CH001,P03,2024-02-06,2024-Q1,1,£11.99
T100287,CH001,P05,2024-12-04,2024-Q4,1,£15.99
T100288,CH001,P03,2024-12-28,2024-Q4,1,£11.99
T100289,CH001,P01,2024-06-27,2024-Q2,1,£12.99
T100290,CH001,P01,2024-04-26,2024-Q2,2,£26
T100291,CH001,P03,2024-07-24,2024-Q3,1,£11.99
T100292,CH001,P01,2024-10-02,2024-Q4,1,£12.99
T100293,CH001,P01,2024-01-02,2024-Q1,2,25.98
T100294,CH001,P03,2024-12-01,2024-Q4,1,£11.99
T100295,CH001,P04,2024-05-09,2024-Q2,2,33.98
T100296,CH001,P04,2024-07-06,2024-Q3,1,16.99
T100297,CH001,P01,2024-06-06,2024-Q2,3,38.97
T100298,CH001,P01,2024-10-03,2024-Q4,1,12.99
T100299,CH001,P03,2024-12-04,2024-Q4,2,£23.98
T100300,CH001,P05,2024-12-25,2024-Q4,1,£15.99
T100301,CH001,P04,2024-02-04,2024-Q1,2,£33.98
T100302,CH001,P05,2024-05-22,2024-Q2,1,£16
T100303,CH001,P03,2024-10-02,2024-Q4,1,£11.99
T100304,CH001,P03,2024-06-13,2024-Q2,1,£11.99
T100305,CH001,P03,2024-03-20,2024-Q1,1,£11.99
T100306,CH001,P01,2024-03-11,2024-Q1,1,£13
T100307,CH001,P03,2024-08-20,2024-Q3,1,£11.99
T100308,CH001,P02,2024-06-26,2024-Q2,1,£14.99
T100309,CH001,P01,2024-01-19,2024-Q1,1,£12.99
T100310,CH001,P02,2024-11-04,2024-Q4,2,£29.98
T100311,CH001,P01,2024-09-23,2024-Q3,1,£12.99
T100312,CH001,P04,2024-05-28,2024-Q2,3,£51
T100313,CH001,P01,2024-09-28,2024-Q3,1,£13
T100314,CH001,P05,2024-02-28,2024-Q1,1,£15.99
T100315,CH001,P02,2024-06-11,2024-Q2,1,14.99
T100316,CH001,P04,2024-09-08,2024-Q3,1,£17
T100317,CH001,P05,2024-11-14,2024-Q4,2,31.98
T100318,CH001,P01,2024-02-11,2024-Q1,1,£12.99
T100319,CH001,P03,2024-01-02,2024-Q1,2,£23.98
T100320,CH001,P05,2024-02-27,2024-Q1,2,£31.98
T100321,CH001,P01,2024-02-25,2024-Q1,2,£25.98
T100322,CH001,P01,2024-07-09,2024-Q3,1,£12.99
T100323,CH001,P05,2024-11-28,2024-Q4,1,£15.99
T100324,CH001,P04,2024-12-28,2024-Q4,1,16.99
T100325,CH001,P05,2024-04-21,2024-Q2,1,£15.99
T100326,CH001,P03,2024-03-21,2024-Q1,1,£11.99
T100327,CH001,P04,2024-01-21,2024-Q1,1,£16.99
T100328,CH001,P01,2024-08-24,2024-Q3,2,£25.98
T100329,CH001,P03,2024-07-28,2024-Q3,1,£12
T100330,CH001,P05,2024-09-05,2024-Q3,1,£15.99
T100331,CH001,P05,2024-04-27,2024-Q2,1,15.99
T100332,CH001,P01,2024-09-10,2024-Q3,2,£26
T100333,CH001,P02,2024-01-22,2024-Q1,1,£14.99
T100334,CH001,P03,2024-12-24,2024-Q4,1,£11.99
T100335,CH001,P01,2024-12-03,2024-Q4,1,12.99
T100336,CH001,P02,2024-02-18,2024-Q1,1,£14.99
T100337,CH001,P06,2024-01-23,2024-Q1,1,£54.99
T100338,CH001,P05,2024-04-23,2024-Q2,2,31.98
T100339,CH001,P04,2024-08-28,2024-Q3,1,£16.99
T100340,CH001,P02,2024-07-27,2024-Q3,2,£29.98
T100341,CH001,P03,2024-05-23,2024-Q2,1,11.99
T100342,CH001,P04,2024-08-08,2024-Q3,2,33.98
T100343,CH001,P05,2024-11-11,2024-Q4,1,£15.99
T100344,CH001,P03,2024-07-01,2024-Q3,2,£23.98
T100345,CH001,P05,2024-02-22,2024-Q1,3,£47.97
T100346,CH001,P03,2025-11-08,2025-Q4,3,£36
T100347,CH001,P01,2025-08-09,2025-Q3,1,£12.99
T100348,CH001,P02,2025-04-03,2025-Q2,2,£30
T100349,CH001,P01,2025-06-15,2025-Q2,1,12.99
T100350,CH001,P03,2025-04-06,2025-Q2,2,£23.98
T100351,CH001,P01,2025-08-16,2025-Q3,1,£12.99
T100352,CH001,P03,2025-02-14,2025-Q1,3,£36
T100353,CH001,P03,2025-01-02,2025-Q1,1,£11.99
T100354,CH001,P02,2025-07-15,2025-Q3,1,14.99
T100355,CH001,P03,2025-08-09,2025-Q3,1,£12
T100356,CH001,P02,2025-11-08,2025-Q4,2,£30
T100357,CH001,P06,2025-12-20,2025-Q4,1,£55
T100358,CH001,P03,2025-07-15,2025-Q3,1,£11.99
T100359,CH001,P02,2025-11-28,2025-Q4,1,£14.99
T100360,CH001,P05,2025-10-26,2025-Q4,1,£15.99
T100361,CH001,P02,2025-09-25,2025-Q3,2,£30
T100362,CH001,P03,2025-02-08,2025-Q1,1,£11.99
T100363,CH001,P02,2025-01-08,2025-Q1,1,14.99
T100364,CH001,P01,2025-06-06,2025-Q2,1,£13
T100365,CH001,P04,2025-10-09,2025-Q4,3,£50.97
T100366,CH001,P03,2025-09-18,2025-Q3,1,£11.99
T100367,CH001,P01,2025-04-01,2025-Q2,1,£13
T100368,CH001,P01,2025-07-18,2025-Q3,2,£25.98
T100369,CH001,P01,2025-02-28,2025-Q1,1,£12.99
T100370,CH001,P04,2025-04-12,2025-Q2,1,16.99
T100371,CH001,P05,2025-03-06,2025-Q1,1,15.99
T100372,CH001,P02,2025-01-10,2025-Q1,1,£14.99
T100373,CH001,P05,2025-04-26,2025-Q2,1,£15.99
T100374,CH001,P04,2025-10-23,2025-Q4,1,16.99
T100375,CH001,P01,2025-05-07,2025-Q2,1,£13
T100376,CH001,P01,2025-03-27,2025-Q1,2,£26
T100377,CH001,P01,2025-01-11,2025-Q1,2,£25.98
T100378,CH001,P01,2025-05-04,2025-Q2,1,£12.99
T100379,CH001,P02,2025-09-17,2025-Q3,3,£44.97
T100380,CH001,P04,2025-03-20,2025-Q1,2,33.98
T100381,CH001,P04,2025-04-26,2025-Q2,3,£50.97
T100382,CH001,P03,2025-11-16,2025-Q4,1,£12
T100383,CH001,P04,2025-02-07,2025-Q1,1,£17
T100384,CH001,P04,2025-06-02,2025-Q2,3,£50.97
T100385,CH001,P02,2025-12-09,2025-Q4,1,£15
T100386,CH001,P04,2025-10-17,2025-Q4,1,£17
T100387,CH001,P02,2025-12-28,2025-Q4,1,£14.99
T100388,CH001,P01,2025-10-03,2025-Q4,1,12.99
T100389,CH001,P01,2025-04-24,2025-Q2,2,25.98
T100390,CH001,P06,2025-07-22,2025-Q3,3,£165
T100391,CH001,P04,2025-11-09,2025-Q4,1,£16.99
T100392,CH001,P05,2025-01-22,2025-Q1,1,15.99
T100393,CH001,P03,2025-04-07,2025-Q2,1,£11.99
T100394,CH001,P02,2025-11-24,2025-Q4,1,14.99
T100395,CH001,P03,2025-06-28,2025-Q2,1,11.99
T100396,CH001,P03,2025-12-20,2025-Q4,1,11.99
T100397,CH001,P01,2025-12-09,2025-Q4,1,£12.99
T100398,CH001,P04,2025-02-04,2025-Q1,1,£17
T100399,CH001,P02,2025-02-16,2025-Q1,2,£29.98
T100400,CH001,P04,2025-09-23,2025-Q3,1,16.99
T100401,CH001,P01,2025-07-09,2025-Q3,1,£12.99
T100402,CH001,P02,2025-05-04,2025-Q2,1,£15
T100403,CH001,P01,2025-10-14,2025-Q4,1,12.99
T100404,CH001,P06,2025-11-09,2025-Q4,1,£55
T100405,CH001,P03,2025-12-16,2025-Q4,1,£11.99
T100406,CH001,P03,2025-03-12,2025-Q1,2,£23.98
T100407,CH001,P02,2025-11-22,2025-Q4,1,14.99
T100408,CH001,P05,2025-10-28,2025-Q4,1,£15.99
T100409,CH001,P04,2025-06-07,2025-Q2,1,£16.99
T100410,CH001,P02,2025-10-12,2025-Q4,1,£14.99
T100411,CH001,P06,2025-09-16,2025-Q3,2,£109.98
T100412,CH001,P02,2025-01-05,2025-Q1,1,£14.99
T100413,CH001,P01,2025-08-08,2025-Q3,2,£26
T100414,CH001,P02,2025-02-02,2025-Q1,1,£14.99
T100415,CH001,P05,2025-02-21,2025-Q1,3,£47.97
T100416,CH001,P03,2025-09-19,2025-Q3,3,35.97
T100417,CH001,P03,2025-03-18,2025-Q1,1,£12
T100418,CH001,P01,2025-08-13,2025-Q3,3,38.97
T100419,CH001,P01,2025-11-10,2025-Q4,1,£12.99
T100420,CH001,P02,2025-11-24,2025-Q4,1,£14.99
T100421,CH001,P02,2025-01-13,2025-Q1,1,14.99
T100422,CH001,P05,2025-02-01,2025-Q1,1,£16
T100423,CH001,P04,2025-06-13,2025-Q2,1,16.99
T100424,CH001,P01,2025-06-20,2025-Q2,1,£13
T100425,CH001,P03,2025-08-03,2025-Q3,1,£11.99
T100426,CH001,P03,2025-04-27,2025-Q2,1,£12
T100427,CH001,P02,2025-02-22,2025-Q1,3,44.97
T100428,CH001,P03,2025-08-22,2025-Q3,2,£24
T100429,CH001,P01,2025-01-12,2025-Q1,1,£13
T100430,CH001,P05,2025-02-09,2025-Q1,1,£15.99
T100431,CH001,P02,2025-07-13,2025-Q3,1,14.99
T100432,CH001,P03,2025-03-18,2025-Q1,2,£23.98
T100433,CH001,P01,2025-05-19,2025-Q2,1,£12.99
T100434,CH001,P02,2025-02-19,2025-Q1,3,£44.97
T100435,CH001,P03,2025-10-04,2025-Q4,1,£11.99
T100436,CH001,P05,2025-11-21,2025-Q4,1,£16
T100437,CH001,P01,2025-11-14,2025-Q4,1,12.99
T100438,CH001,P01,2025-03-18,2025-Q1,1,£13
T100439,CH001,P02,2025-10-10,2025-Q4,1,14.99
T100440,CH001,P03,2025-02-15,2025-Q1,1,11.99
T100441,CH001,P06,2025-11-20,2025-Q4,1,£54.99
T100442,CH001,P01,2025-09-25,2025-Q3,1,£12.99
T100443,CH001,P01,2025-09-05,2025-Q3,1,£12.99
T100444,CH001,P05,2025-12-18,2025-Q4,2,31.98
